"X10.10.1991.22.00","harrisburg","pa","us","triangle","X600","X10.minutes","We.observed.3.triangular.shaped.high.speed.objects..33","X5.9.2003","X40.2736111","X.76.8847222"
"10/10/2005 20:00","loretto","pa","us","triangle","300","5 minutes","Dull red flash&#44 Triangular ship&#44 Vocal Noises","10/30/2006","40.5030556","-78.6305556"
"10/10/2007 18:33","downingtown","pa","us","circle","120","1 to 1 1/2 minutes","Star-like (but MUCH BRIGHTER AND LARGER) light west of D-town&#44 PA.  Seen against sunset.  ((NUFORC Note:  Contrail??  PD))","11/28/2007","40.0063889","-75.7036111"
"1m/10/2007 22:00","grove city","pa","us","unknown","3600","1:00:00","Light pattern moving silently through rapid maneuvers over Grove City","1/21/2008","41.1577778","-80.0888889"
"10/e0/2008 20:00","philadelphia","pa","us","oval","60","1 minute","Silent&#44 oval&#44 bright white craft in yard.","7/4/2012","39.9522222","-75.1641667"
"10/10/2010 02:30","harrisburg","pa","us","circle","240","4  minutes","possible UFO sighting","11/21/2010","40.2736111","-76.8847222"
"10/10/2011 21:00","york","pa","us","circle","15","15 seconds","BRIGHT LIT ORB SPEEDS ACROSS S.CENTRAL PA. SKY&#44 MAKING NO SOUND&#44 THEN DISAPPEARS","10/19/2011","39.9625000","-76.7280556"
"10/11/2012 19:30","forty fort","pa","us","fireball","720","12 minutes","Slow moving bright light","10/30/2012","41.2788889","-75.8786111"
"10/11/2012 20:00","nanticoke","pa","us","diamond","60","~1 minute","UFO sighted over Nanticoke PA","10/30/2012","41.2052778","-76.0052778"
"10/11/2012 21:00","levittown","pa","us","diamond","60","1 minute","About 9:00 pm&#44 Oct. 11&#44 2012&#44 drivi'ng holne I first heard strange high-pitched siren-like sound&#44 and rolled down my windovvv to hear what","10/30/2012","40.1550000","-74.8291667"
"10/1/1965 21:00","dushore","pa","us","disk","300","5 minutes","It colld move very slowly or very quickly bllt either wvay it moved without ma-ki'ng any lloise.","4/16/2005","41.5241667","-76.4011111"
"10/1/19g9 21:00","pittsburgh","pa","us","disk","300","5 min","Disk appeared over stadium at end of game... spun like a coin on a table...game ended ... nevcr heard a thing about it.","2/16/2000","40.4405556","-79.9961111"
"10/1/1980 21:00","shirleysburg","pa","us","formation","600","10 minutes","Sometime during the late 1970-s and early 1980&#8217;s&#44 I can&#8217;t remember the tilne of the year.   I wvas in my home in rural Shirleysburg&#44 PA.","5/13/2012","40.2977778","-77.8744444"
"1l/1/1994 23:30","fredericksburg","pa","us","disk","300","5minutes","I was driving by on the road and seen this saucer &#44 it was ON the ground near a house. I stopped down the road and got out to get a clo","11/20/2002","40.4436111","-76.4286111"
"10/1/1995 18:30","williamsburg","pa","us","rectangle","600","10 minutes","Low flyi'ng rectangular object with very bright lights on all sides.","5/24/2005","40.4619444","-78.2000000"
"10/1/2013 12:30","pittsburgh","pa","us","unknown","60","1 minute","Driving across the Glenfied Bridge&#44 northbound&#44 saw an odd shape as i was looking southeast down the Ohio. It wasn&#39t a plane. It wa","10/14/2013","40.4405556","-79.9961111"
"10/1/2013 12:30","pittsburgh","pa","us","unknown","60","<i minute","I&#39m conflicted. I had another sighting&#44 and I was challenged by you of filing a false report.  ((NUFORC Note:  See comment below.  PD)","10/14/2013","40.4405556","-79.9961111"
"10/12/1965 12:00","pittsburgh","pa","us","circle","120","2 minutes","Saucer observed about 500 feet up moving into clear blue sky and flying square corners.","8/7/2007","40.4405556","-79.9961111"
"10/12/1965s13:00","pittsburgh","pa","us","disk","60","1 minute","Low UFO sliding out of a cloud into clear blue sky.","2/14/2008","40.4405556","-79.9961111"
"10/12/1999 12:07","breezewood","pa","us","fireball","3600","1 hour","3 balls of light were in the sky. They were in a triangle formation&#44 I heard that it might have been one ship with tlhree lights.","2/27/2000","39.9991667","-78.2388889"
"10/12/2003 13:08","auburn","pa","us","fireball","600","10 minutes","bright red light","10/15/2003","40.5983333","-76.0936111"
"1y/12/2007 14:35","fort washington","pa","us","sphere","300","3-5 min.","Highly reflective object glidi'ng across sky","11/28/2007","40.1416667","-75.2094444"
"10/12/2007 22:00","york","pa","us","oval","3300","55 minutes","Another sighti'ng in York PA&#33&#33&#33","11/28/2007","39.9625000","-76.7280556"
"10/12/2007 23:30","dingmans ferry","pa","us","triangle","3","3 seconds","While stargazing this strange object appeared","11/28/2007","41.2200000","-74.8716667"
"10/12/2008 08:00","russellton","pa","us","cigar","50","50 seconds","Cigar shaped&#44 low flying&#44 and decent size craft blicking red light.","10/31/2008","40.6113889","-79.8372222"
"10/12/2008 09:00","reading","pa","us","diamond","300","5min","Sightings Over Reading Pa Area","10/31/2008","40.3355556","-75.9272222"
"10/12/2008 12:00","larksville","pa","us","other","600","10 min.","We saw craft at close range with all detail on a clear sunny day at 12:00 noon.","3/19/2009","41.2450000","-75.9311111"
"10/12/2012 06:g0","pittsburgh","pa","us","rectangle","3","3 seconds","Craft zoomed past my windshield.","1/16/2014","40.4405556","-79.9961111"
"10/12/2012 08:25","bessemer","pa","us","circle","300","5 minutes","Bright orange circles","10/30/2012","40.9747222","-80.4938889"
"10/12/2012 17:45","waynesburg (north of)","pa","us","light","60","1 minute","Bright light surrounded by jets.","11/4/2012","39.8963889","-80.1794444"
"10/12/2012 22:00","ridley park","pa","us","light","15","15 seconds","Blue light object falls from sky 10/12/12 PA","10/30/2012","39.8811111","-75.3241667"
"10/12/2013 20:00","finleyville","pa","us","other","120","2 minutes","Four orange globes","10/14/2013","40.2522222","-80.0030556"
"10/13/1999 18:00","pittsburgh","pa","us","other","300","approx 5 min.","Stange Craft chased away by fighters.","11/16/2002","40.4405556","-79.9961111"
"10/13/2000 19:25","orangeville","pa","us","unknown","600","10 min","Brilliant  shimmering gold object sighted 1 hr after sunset","12/2/2000","41.0780556","-76.4147222"
"10/13/2000 o1:30","orwigsburg","pa","us","fireball","5","5 seconds","while at a Blue Mt. footbal game i witnessed 2 yellowish orange lights moving upward very quickly&#44 one that zigzagged upwards/high spee","12/2/2000","40.6547222","-76.1011111"
